personLookup,status,personID,displayTitle,alsoCalled,slug,name,surname,isProperName,gender,birthYear,deathYear,birthPlace,deathPlace,memberOf,dictionaryLink,dictionaryText,events,eventGroups,verseCount,verses,mother,father,children,siblings,halfSiblingsSameMother,halfSiblingsSameFather,chaptersWritten,eastons
aaron_1,publish,1,Aaron,,aaron_1,Aaron,,checked,Male,-1574,-1451,egypt_362,mount_hor_842,Tribe of Levi,https://www.biblestudytools.com/dictionaries/eastons-bible-dictionary/aaron.html," the eldest son of Amram and Jochebed, a daughter of Levi (  Exodus 6:20  ). Some explain the name as meaning mountaineer, others mountain of strength, illuminator. He was born in Egypt three years before his brother Moses, and a number of years after his sister Miriam (  Exodus 2:1   Exodus 2:4  ;   7:7  ). He married Elisheba, the daughter of Amminadab of the house of Judah (  6:23  ;   1�Chronicles 2:10  ), by whom he had four sons, Nadab and Abihu, Eleazar and Ithamar. When the time for the deliverance of Isarael out of Egypt drew nigh, he was sent by God (  Exodus 4:14   Exodus 4:27-30  ) to meet his long-absent brother, that he might co-operate with him in all that they were required to do in bringing about the Exodus. He was to be the ""mouth"" or ""prophet"" of Moses, i.e., was to speak for him, because he was a man of a ready utterance (  Exodus 7:1   Exodus 7:2   Exodus 7:9   Exodus 7:10   Exodus 7:19  ). He was faithful to his trust, and stood by Moses in all his interviews with Pharaoh.    When the ransomed tribes fought their first battle with Amalek in Rephidim, Moses stood on a hill overlooking the scene of the conflict with the rod of God in his outstretched hand. On this occasion he was attended by Aaron and Hur, his sister's husband, who held up his wearied hands till Joshua and the chosen warriors of Israel gained the victory (  17:8-13  ).    Afterwards, when encamped before Sinai, and when Moses at the command of God ascended the mount to receive the tables of the law, Aaron and his two sons, Nadab and Abihu, along with seventy of the elders of Israel, were permitted to accompany him part of the way, and to behold afar off the manifestation of the glory of Israel's God (  Exodus 19:24  ;   24:9-11  ). While Moses remained on the mountain with God, Aaron returned unto the people; and yielding through fear, or ignorance, or instability of character, to their clamour, made unto them a golden calf, and set it up as an object of worship (  Exodus 32:4  ;   Psalms 106:19  ). On the return of Moses to the camp, Aaron was sternly rebuked by him for the part he had acted in this matter; but he interceded for him before God, who forgave his sin (  Deuteronomy 9:20  ).    On the mount, Moses received instructions regarding the system of worship which was to be set up among the people; and in accordance therewith Aaron and his sons were consecrated to the priest's office (  Leviticus 8  ;   9  ). Aaron, as high priest, held henceforth the prominent place appertaining to that office.    When Israel had reached Hazeroth, in ""the wilderness of Paran,"" Aaron joined with his sister Miriam in murmuring against Moses, ""because of the Ethiopian woman whom he had married,"" probably after the death of Zipporah. But the Lord vindicated his servant Moses, and punished Miriam with leprosy (  Numbers 12  ). Aaron acknowledged his own and his sister's guilt, and at the intercession of Moses they were forgiven.    Twenty years after this, when the children of Israel were encamped in the wilderness of Paran, Korah, Dathan, and Abiram conspired against Aaron and his sons; but a fearful judgment from God fell upon them, and they were destroyed, and the next day thousands of the people also perished by a fierce pestilence, the ravages of which were only stayed by the interposition of Aaron (  Numbers 16  ). That there might be further evidence of the divine appointment of Aaron to the priestly office, the chiefs of the tribes were each required to bring to Moses a rod bearing on it the name of his tribe. And these, along with the rod of Aaron for the tribe of Levi, were laid up overnight in the tabernacle, and in the morning it was found that while the other rods remained unchanged, that of Aaron ""for the house of Levi"" budded, blossomed, and yielded almonds (  Numbers 17:1-10  ). This rod was afterwards preserved in the tabernacle (  Hebrews 9:4  ) as a memorial of the divine attestation of his appointment to the priesthood.    Aaron was implicated in the sin of his brother at Meribah (  Numbers 20:8-13  ), and on that account was not permitted to enter the Promised Land. When the tribes arrived at Mount Hor, ""in the edge of the land of Edom,"" at the command of God Moses led Aaron and his son Eleazar to the top of that mountain, in the sight of all the people. There he stripped Aaron of his priestly vestments, and put them upon Eleazar; and there Aaron died on the top of the mount, being 123 years old (  Numbers 20:23-29  . Compare   Deuteronomy 10:6  ;   32:50  ), and was ""gathered unto his people."" The people, ""even all the house of Israel,"" mourned for him thirty days. Of Aaron's sons two survived him, Eleazar, whose family held the high-priesthood till the time of Eli; and Ithamar, in whose family, beginning with Eli, the high-priesthood was held till the time of Solomon. Aaron's other two sons had been struck dead (  Leviticus 10:1   Leviticus 10:2  ) for the daring impiety of offering ""strange fire"" on the alter of incense.    The Arabs still show with veneration the traditionary site of Aaron's grave on one of the two summits of Mount Hor, which is marked by a Mohammedan chapel. His name is mentioned in the Koran, and there are found in the writings of the rabbins many fabulous stories regarding him.   He was the first anointed priest. His descendants, ""the house of Aaron,"" constituted the priesthood in general. In the time of David they were very numerous (  1�Chronicles 12:27  ). The other branches of the tribe of Levi held subordinate positions in connection with the sacred office. Aaron was a type of Christ in his official character as the high priest. His priesthood was a ""shadow of heavenly things,"" and was intended to lead the people of Israel to look forward to the time when ""another priest"" would arise ""after the order of Melchizedek"" (  Hebrews 6:20  ). (See  MOSES )",,,331,"Exod.4.14,Exod.4.27,Exod.4.28,Exod.4.29,Exod.4.30,Exod.5.1,Exod.5.4,Exod.5.20,Exod.6.13,Exod.6.20,Exod.6.23,Exod.6.25,Exod.6.26,Exod.6.27,Exod.7.1,Exod.7.2,Exod.7.6,Exod.7.7,Exod.7.8,Exod.7.9,Exod.7.10,Exod.7.12,Exod.7.19,Exod.7.20,Exod.8.5,Exod.8.6,Exod.8.8,Exod.8.12,Exod.8.16,Exod.8.17,Exod.8.25,Exod.9.8,Exod.9.27,Exod.10.3,Exod.10.8,Exod.10.16,Exod.11.10,Exod.12.1,Exod.12.28,Exod.12.31,Exod.12.43,Exod.12.50,Exod.15.20,Exod.16.2,Exod.16.6,Exod.16.9,Exod.16.10,Exod.16.33,Exod.16.34,Exod.17.10,Exod.17.12,Exod.18.12,Exod.19.24,Exod.24.1,Exod.24.9,Exod.24.14,Exod.27.21,Exod.28.1,Exod.28.2,Exod.28.3,Exod.28.4,Exod.28.12,Exod.28.29,Exod.28.30,Exod.28.35,Exod.28.38,Exod.28.40,Exod.28.41,Exod.28.43,Exod.29.4,Exod.29.5,Exod.29.9,Exod.29.10,Exod.29.15,Exod.29.19,Exod.29.20,Exod.29.21,Exod.29.24,Exod.29.26,Exod.29.27,Exod.29.28,Exod.29.29,Exod.29.32,Exod.29.35,Exod.29.44,Exod.30.7,Exod.30.8,Exod.30.10,Exod.30.19,Exod.30.30,Exod.31.10,Exod.32.1,Exod.32.2,Exod.32.3,Exod.32.5,Exod.32.21,Exod.32.22,Exod.32.25,Exod.32.35,Exod.34.30,Exod.34.31,Exod.35.19,Exod.38.21,Exod.39.1,Exod.39.27,Exod.39.41,Exod.40.12,Exod.40.13,Exod.40.31,Lev.1.5,Lev.1.7,Lev.1.8,Lev.1.11,Lev.2.2,Lev.2.3,Lev.2.10,Lev.3.2,Lev.3.5,Lev.3.8,Lev.3.13,Lev.6.9,Lev.6.14,Lev.6.16,Lev.6.18,Lev.6.20,Lev.6.25,Lev.7.10,Lev.7.31,Lev.7.33,Lev.7.34,Lev.7.35,Lev.8.2,Lev.8.6,Lev.8.12,Lev.8.13,Lev.8.14,Lev.8.18,Lev.8.22,Lev.8.23,Lev.8.24,Lev.8.27,Lev.8.30,Lev.8.31,Lev.8.36,Lev.9.1,Lev.9.2,Lev.9.7,Lev.9.8,Lev.9.9,Lev.9.12,Lev.9.18,Lev.9.21,Lev.9.22,Lev.9.23,Lev.10.1,Lev.10.3,Lev.10.4,Lev.10.6,Lev.10.8,Lev.10.12,Lev.10.16,Lev.10.19,Lev.11.1,Lev.13.1,Lev.13.2,Lev.14.33,Lev.15.1,Lev.16.1,Lev.16.2,Lev.16.3,Lev.16.6,Lev.16.8,Lev.16.9,Lev.16.11,Lev.16.21,Lev.16.23,Lev.17.2,Lev.21.1,Lev.21.17,Lev.21.21,Lev.21.24,Lev.22.2,Lev.22.4,Lev.22.18,Lev.24.3,Lev.24.9,Num.1.3,Num.1.17,Num.1.44,Num.2.1,Num.3.1,Num.3.2,Num.3.3,Num.3.4,Num.3.6,Num.3.9,Num.3.10,Num.3.32,Num.3.38,Num.3.39,Num.3.48,Num.3.51,Num.4.1,Num.4.5,Num.4.15,Num.4.16,Num.4.17,Num.4.19,Num.4.27,Num.4.28,Num.4.33,Num.4.34,Num.4.37,Num.4.41,Num.4.45,Num.4.46,Num.6.23,Num.7.8,Num.8.2,Num.8.3,Num.8.11,Num.8.13,Num.8.19,Num.8.20,Num.8.21,Num.8.22,Num.9.6,Num.10.8,Num.12.1,Num.12.4,Num.12.5,Num.12.10,Num.12.11,Num.13.26,Num.14.2,Num.14.5,Num.14.26,Num.15.33,Num.16.3,Num.16.11,Num.16.16,Num.16.17,Num.16.18,Num.16.20,Num.16.37,Num.16.40,Num.16.41,Num.16.42,Num.16.43,Num.16.46,Num.16.47,Num.16.50,Num.17.3,Num.17.6,Num.17.8,Num.17.10,Num.18.1,Num.18.8,Num.18.20,Num.18.28,Num.19.1,Num.20.2,Num.20.6,Num.20.8,Num.20.10,Num.20.12,Num.20.23,Num.20.24,Num.20.25,Num.20.26,Num.20.28,Num.20.29,Num.25.7,Num.25.11,Num.26.1,Num.26.9,Num.26.59,Num.26.60,Num.26.64,Num.27.13,Num.33.1,Num.33.38,Num.33.39,Deut.9.20,Deut.10.6,Deut.32.50,Josh.21.4,Josh.21.10,Josh.21.13,Josh.21.19,Josh.24.5,Josh.24.33,Judg.20.28,1Sam.12.6,1Sam.12.8,1Chr.6.3,1Chr.6.49,1Chr.6.50,1Chr.6.54,1Chr.6.57,1Chr.15.4,1Chr.23.13,1Chr.23.28,1Chr.23.32,1Chr.24.1,1Chr.24.19,1Chr.24.31,2Chr.13.9,2Chr.13.10,2Chr.26.18,2Chr.29.21,2Chr.31.19,2Chr.35.14,Ezra.7.5,Neh.10.38,Neh.12.47,Ps.77.20,Ps.99.6,Ps.105.26,Ps.106.16,Ps.115.10,Ps.115.12,Ps.118.3,Ps.133.2,Ps.135.19,Mic.6.4,Luke.1.5,Acts.7.40,Heb.5.4,Heb.7.11,Heb.9.4",jochebed_1645,amram_242,"abihu_33,eleazar_1062,nadab_2128,ithamar_649","miriam_2087,moses_2108",,,,Aaron
abel_13,publish,13,Abel,,abel_13,Abel,,checked,Male,-3938,-3880,eden_354,eden_354,,,,Cain kills Abel,Cain and Abel,9,"Gen.4.2,Gen.4.4,Gen.4.8,Gen.4.9,Gen.4.25,Matt.23.35,Luke.11.51,Heb.11.4,Heb.12.24",eve_1231,adam_78,,"cain_533,seth_2504",,,,Abel
abimael_39,publish,39,Abimael,,abimael_39,Abimael,,checked,Male,,,,,,,,,,2,"Gen.10.28,1Chr.1.22",,joktan_1686,,"almodad_191,jerah_842,diklah_1011,hadoram_1345,havilah_1462,hazarmaveth_1465,jobab_1640,ebal_2227,ophir_2253,sheba_2568,sheleph_2602,uzal_2911",,,,Abimael
abimelech_40,publish,40,Abimelech (King of Gerar),,abimelech_40,Abimelech,,checked,Male,,,,,,,,,,23,"Gen.20.2,Gen.20.3,Gen.20.4,Gen.20.8,Gen.20.9,Gen.20.10,Gen.20.14,Gen.20.15,Gen.20.17,Gen.20.18,Gen.21.22,Gen.21.25,Gen.21.26,Gen.21.27,Gen.21.29,Gen.21.32,Gen.26.1,Gen.26.8,Gen.26.9,Gen.26.10,Gen.26.11,Gen.26.16,Gen.26.26",,,,,,,,Abimelech 2
abiram_47,publish,47,Abiram (son of Eliab),,abiram_47,Abiram,,checked,Male,,,,,Tribe of Reuben,,,,,8,"Num.16.1,Num.16.12,Num.16.24,Num.16.25,Num.16.27,Num.26.9,Deut.11.6,Ps.106.17",,eliab_1074,,"dathan_982,nemuel_2177",,,,Abiram 1
abraham_58,publish,58,Abraham,Abram,abraham_58,Abraham,,checked,Male,-1997,-1821,ur_1189,,Genealogy of Jesus,https://www.biblestudytools.com/dictionaries/eastons-bible-dictionary/abraham.html," father of a multitude, son of Terah, named (  Genesis 11:27  ) before his older brothers Nahor and Haran, because he was the heir of the promises. Till the age of seventy, Abram sojourned among his kindred in his native country of Chaldea. He then, with his father and his family and household, quitted the city of Ur, in which he had hitherto dwelt, and went some 300 miles north to Haran, where he abode fifteen years. The cause of his migration was a call from God (  Acts 7:2-4  ). There is no mention of this first call in the Old Testament; it is implied, however, in   Genesis 12  . While they tarried at Haran, Terah died at the age of 205 years. Abram now received a second and more definite call, accompanied by a promise from God (  Genesis 12:1   Genesis 12:2  ); whereupon he took his departure, taking his nephew Lot with him, ""not knowing whither he went"" (  Hebrews 11:8  ). He trusted implicitly to the guidance of Him who had called him.    Abram now, with a large household of probably a thousand souls, entered on a migratory life, and dwelt in tents. Passing along the valley of the Jabbok, in the land of Canaan, he formed his first encampment at Sichem (  Genesis 12:6  ), in the vale or oak-grove of Moreh, between Ebal on the north and Gerizim on the south. Here he received the great promise, ""I will make of thee a great nation,"" etc. (  Genesis 12:2   Genesis 12:3   Genesis 12:7  ). This promise comprehended not only temporal but also spiritual blessings. It implied that he was the chosen ancestor of the great Deliverer whose coming had been long ago predicted (  Genesis 3:15  ). Soon after this, for some reason not mentioned, he removed his tent to the mountain district between Bethel, then called Luz, and Ai, towns about two miles apart, where he built an altar to ""Jehovah."" He again moved into the southern tract of Palestine, called by the Hebrews the Negeb; and was at length, on account of a famine, compelled to go down into Egypt. This took place in the time of the Hyksos, a Semitic race which now held the Egyptians in bondage. Here occurred that case of deception on the part of Abram which exposed him to the rebuke of Pharaoh (  Genesis 12:18  ). Sarai was restored to him; and Pharaoh loaded him with presents, recommending him to withdraw from the country. He returned to Canaan richer than when he left it, ""in cattle, in silver, and in gold"" (  Genesis 12:8  ;   13:2  . Compare   Psalms 105:13   Psalms 105:14  ). The whole party then moved northward, and returned to their previous station near Bethel. Here disputes arose between Lot's shepherds and those of Abram about water and pasturage. Abram generously gave Lot his choice of the pasture-ground. (Compare   1�Corinthians 6:7  .) He chose the well-watered plain in which Sodom was situated, and removed thither; and thus the uncle and nephew were separated. Immediately after this Abram was cheered by a repetition of the promises already made to him, and then removed to the plain or ""oak-grove"" of Mamre, which is in Hebron. He finally settled here, pitching his tent under a famous oak or terebinth tree, called ""the oak of Mamre"" (  Genesis 13:18  ). This was his third resting-place in the land.    Some fourteen years before this, while Abram was still in Chaldea, Palestine had been invaded by Chedorlaomer, King of Elam, who brought under tribute to him the five cities in the plain to which Lot had removed. This tribute was felt by the inhabitants of these cities to be a heavy burden, and after twelve years they revolted. This brought upon them the vengeance of Chedorlaomer, who had in league with him four other kings. He ravaged the whole country, plundering the towns, and carrying the inhabitants away as slaves. Among those thus treated was Lot. Hearing of the disaster that had fallen on his nephew, Abram immediately gathered from his own household a band of 318 armed men, and being joined by the Amoritish chiefs Mamre, Aner, and Eshcol, he pursued after Chedorlaomer, and overtook him near the springs of the Jordan. They attacked and routed his army, and pursued it over the range of Anti-Libanus as far as to Hobah, near Damascus, and then returned, bringing back all the spoils that had been carried away. Returning by way of Salem, i.e., Jerusalem, the king of that place, Melchizedek, came forth to meet them with refreshments. To him Abram presented a tenth of the spoils, in recognition of his character as a priest of the most high God (  Genesis 14:18-20  ).    In a recently-discovered tablet, dated in the reign of the grandfather of Amraphel (  Genesis 14:1  ), one of the witnesses is called ""the Amorite, the son of Abiramu,"" or Abram.    Having returned to his home at Mamre, the promises already made to him by God were repeated and enlarged (  Genesis 13:14  ). ""The word of the Lord"" (an expression occurring here for the first time) ""came to him"" (  15:1  ). He now understood better the future that lay before the nation that was to spring from him. Sarai, now seventy-five years old, in her impatience, persuaded Abram to take Hagar, her Egyptian maid, as a concubine, intending that whatever child might be born should be reckoned as her own. Ishmael was accordingly thus brought up, and was regarded as the heir of these promises (  Genesis 16  ). When Ishmael was thirteen years old, God again revealed yet more explicitly and fully his gracious purpose; and in token of the sure fulfilment of that purpose the patriarch's name was now changed from Abram to Abraham (  Genesis 17:4   Genesis 17:5  ), and the rite of circumcision was instituted as a sign of the covenant. It was then announced that the heir to these covenant promises would be the son of Sarai, though she was now ninety years old; and it was directed that his name should be Isaac. At the same time, in commemoration of the promises, Sarai's name was changed to Sarah. On that memorable day of God's thus revealing his design, Abraham and his son Ishmael and all the males of his house were circumcised (  Genesis 17  ). Three months after this, as Abraham sat in his tent door, he saw three men approaching. They accepted his proffered hospitality, and, seated under an oak-tree, partook of the fare which Abraham and Sarah provided. One of the three visitants was none other than the Lord, and the other two were angels in the guise of men. The Lord renewed on this occasion his promise of a son by Sarah, who was rebuked for her unbelief. Abraham accompanied the three as they proceeded on their journey. The two angels went on toward Sodom; while the Lord tarried behind and talked with Abraham, making known to him the destruction that was about to fall on that guilty city. The patriarch interceded earnestly in behalf of the doomed city. But as not even ten righteous persons were found in it, for whose sake the city would have been spared, the threatened destruction fell upon it; and early next morning Abraham saw the smoke of the fire that consumed it as the ""smoke of a furnace"" (  Genesis 19:1-28  ).    After fifteen years' residence at Mamre, Abraham moved southward, and pitched his tent among the Philistines, near to Gerar. Here occurred that sad instance of prevarication on his part in his relation to Abimelech the King (  Genesis 20  ). (See  ABIMELECH ) Soon after this event, the patriarch left the vicinity of Gerar, and moved down the fertile valley about 25 miles to Beer-sheba. It was probably here that Isaac was born, Abraham being now an hundred years old. A feeling of jealousy now arose between Sarah and Hagar, whose son, Ishmael, was no longer to be regarded as Abraham's heir. Sarah insisted that both Hagar and her son should be sent away. This was done, although it was a hard trial to Abraham (  Genesis 21:12  ). (See HAGAR;  ISHMAEL.)   At this point there is a blank in the patriarch's history of perhaps twenty-five years. These years of peace and happiness were spent at Beer-sheba. The next time we see him his faith is put to a severe test by the command that suddenly came to him to go and offer up Isaac, the heir of all the promises, as a sacrifice on one of the mountains of Moriah. His faith stood the test (  Hebrews 11:17-19  ). He proceeded in a spirit of unhesitating obedience to carry out the command; and when about to slay his son, whom he had laid on the altar, his uplifted hand was arrested by the angel of Jehovah, and a ram, which was entangled in a thicket near at hand, was seized and offered in his stead. From this circumstance that place was called Jehovah-jireh, i.e., ""The Lord will provide."" The promises made to Abraham were again confirmed (and this was the last recorded word of God to the patriarch); and he descended the mount with his son, and returned to his home at Beer-sheba (  Genesis 22:19  ), where he resided for some years, and then moved northward to Hebron.    Some years after this Sarah died at Hebron, being 127 years old. Abraham acquired now the needful possession of a burying-place, the cave of Machpelah, by purchase from the owner of it, Ephron the Hittite (  Genesis 23  ); and there he buried Sarah. His next care was to provide a wife for Isaac, and for this purpose he sent his steward, Eliezer, to Haran (or Charran,   Acts 7:2  ), where his brother Nahor and his family resided (  Genesis 11:31  ). The result was that Rebekah, the daughter of Nahor's son Bethuel, became the wife of Isaac (  Genesis 24  ). Abraham then himself took to wife Keturah, who became the mother of six sons, whose descendants were afterwards known as the ""children of the east"" (  Judges 6:3  ), and later as ""Saracens."" At length all his wanderings came to an end. At the age of 175 years, 100 years after he had first entered the land of Canaan, he died, and was buried in the old family burying-place at Machpelah (  Genesis 25:7-10  ).    The history of Abraham made a wide and deep impression on the ancient world, and references to it are interwoven in the religious traditions of almost all Eastern nations. He is called ""the friend of God"" (  James 2:23  ), ""faithful Abraham"" (  Galatians 3:9  ), ""the father of us all"" (  Romans 4:16  ).","Abraham is called to Canaan,Abraham goes to Egypt,Abraham and Lot Separate","Abraham's Sojourn in Canaan, Abraham's Sojourn in Canaan, Abraham's Sojourn in Canaan",277,"Gen.11.26,Gen.11.27,Gen.11.29,Gen.11.31,Gen.12.1,Gen.12.4,Gen.12.5,Gen.12.6,Gen.12.7,Gen.12.9,Gen.12.10,Gen.12.14,Gen.12.16,Gen.12.17,Gen.12.18,Gen.13.1,Gen.13.2,Gen.13.4,Gen.13.5,Gen.13.7,Gen.13.8,Gen.13.12,Gen.13.14,Gen.13.18,Gen.14.12,Gen.14.13,Gen.14.14,Gen.14.19,Gen.14.21,Gen.14.22,Gen.14.23,Gen.15.1,Gen.15.2,Gen.15.3,Gen.15.11,Gen.15.12,Gen.15.13,Gen.15.18,Gen.16.1,Gen.16.2,Gen.16.3,Gen.16.5,Gen.16.6,Gen.16.15,Gen.16.16,Gen.17.1,Gen.17.3,Gen.17.5,Gen.17.9,Gen.17.15,Gen.17.17,Gen.17.18,Gen.17.22,Gen.17.23,Gen.17.24,Gen.17.26,Gen.18.6,Gen.18.7,Gen.18.11,Gen.18.13,Gen.18.16,Gen.18.17,Gen.18.18,Gen.18.19,Gen.18.22,Gen.18.23,Gen.18.27,Gen.18.33,Gen.19.27,Gen.19.29,Gen.20.1,Gen.20.2,Gen.20.9,Gen.20.10,Gen.20.11,Gen.20.14,Gen.20.17,Gen.20.18,Gen.21.2,Gen.21.3,Gen.21.4,Gen.21.5,Gen.21.7,Gen.21.8,Gen.21.9,Gen.21.10,Gen.21.11,Gen.21.12,Gen.21.14,Gen.21.22,Gen.21.24,Gen.21.25,Gen.21.27,Gen.21.28,Gen.21.29,Gen.21.33,Gen.21.34,Gen.22.1,Gen.22.3,Gen.22.4,Gen.22.5,Gen.22.6,Gen.22.7,Gen.22.8,Gen.22.9,Gen.22.10,Gen.22.11,Gen.22.13,Gen.22.14,Gen.22.15,Gen.22.19,Gen.22.20,Gen.22.23,Gen.23.2,Gen.23.3,Gen.23.5,Gen.23.7,Gen.23.10,Gen.23.12,Gen.23.14,Gen.23.16,Gen.23.18,Gen.23.19,Gen.23.20,Gen.24.1,Gen.24.2,Gen.24.6,Gen.24.9,Gen.24.12,Gen.24.15,Gen.24.27,Gen.24.34,Gen.24.42,Gen.24.48,Gen.24.52,Gen.24.59,Gen.25.1,Gen.25.5,Gen.25.6,Gen.25.7,Gen.25.8,Gen.25.10,Gen.25.11,Gen.25.12,Gen.25.19,Gen.26.1,Gen.26.3,Gen.26.5,Gen.26.15,Gen.26.18,Gen.26.24,Gen.28.4,Gen.28.9,Gen.28.13,Gen.31.42,Gen.31.53,Gen.32.9,Gen.35.12,Gen.35.27,Gen.48.15,Gen.48.16,Gen.49.30,Gen.49.31,Gen.50.13,Gen.50.24,Exod.2.24,Exod.3.6,Exod.3.15,Exod.3.16,Exod.4.5,Exod.6.3,Exod.6.8,Exod.32.13,Exod.33.1,Lev.26.42,Num.32.11,Deut.1.8,Deut.6.10,Deut.9.5,Deut.9.27,Deut.29.13,Deut.30.20,Deut.34.4,Josh.24.2,Josh.24.3,1Kgs.18.36,2Kgs.13.23,1Chr.1.27,1Chr.1.28,1Chr.1.32,1Chr.1.34,1Chr.16.16,1Chr.29.18,2Chr.20.7,2Chr.30.6,Neh.9.7,Ps.47.9,Ps.105.6,Ps.105.9,Ps.105.42,Isa.29.22,Isa.41.8,Isa.51.2,Isa.63.16,Jer.33.26,Ezek.33.24,Mic.7.20,Matt.1.1,Matt.1.2,Matt.1.17,Matt.3.9,Matt.8.11,Matt.22.32,Mark.12.26,Luke.1.55,Luke.1.73,Luke.3.8,Luke.3.34,Luke.13.16,Luke.13.28,Luke.16.22,Luke.16.23,Luke.16.24,Luke.16.25,Luke.16.29,Luke.16.30,Luke.19.9,Luke.20.37,John.8.33,John.8.37,John.8.39,John.8.40,John.8.52,John.8.53,John.8.56,John.8.57,John.8.58,Acts.3.13,Acts.3.25,Acts.7.2,Acts.7.8,Acts.7.16,Acts.7.17,Acts.7.32,Acts.13.26,Rom.4.1,Rom.4.2,Rom.4.3,Rom.4.9,Rom.4.12,Rom.4.13,Rom.4.16,Rom.9.7,Rom.11.1,2Cor.11.22,Gal.3.6,Gal.3.7,Gal.3.8,Gal.3.9,Gal.3.14,Gal.3.16,Gal.3.18,Gal.3.29,Gal.4.22,Heb.2.16,Heb.6.13,Heb.7.1,Heb.7.2,Heb.7.4,Heb.7.5,Heb.7.6,Heb.7.9,Heb.11.8,Heb.11.17,Jas.2.21,Jas.2.23,1Pet.3.6",,terah_2841,"ishmael_630,medan_1978,midian_2075,zimran_3086,shuah_2727,jokshan_1685,ishbak_620,isaac_616","haran_1407,nahor_2143",,,,Abraham
adah_69,publish,69,Adah (wife of Lamech),,adah_69,Adah,,checked,Female,,,,,,,,,,3,"Gen.4.19,Gen.4.20,Gen.4.23",,,"jabal_673,jubal_1748",,,,,Adah 1
adam_78,publish,78,Adam,,adam_78,Adam,,checked,Male,-4004,-3074,eden_354,,Genealogy of Jesus,,,"God creates man and woman,Man falls into sin","The Creation, The Creation",26,"Gen.2.19,Gen.2.20,Gen.2.21,Gen.2.23,Gen.3.8,Gen.3.9,Gen.3.17,Gen.3.20,Gen.3.21,Gen.4.1,Gen.4.25,Gen.5.1,Gen.5.2,Gen.5.3,Gen.5.4,Gen.5.5,Deut.32.8,1Chr.1.1,Job.31.33,Luke.3.38,Rom.5.14,1Cor.15.22,1Cor.15.45,1Tim.2.13,1Tim.2.14,Jude.1.14",,god_1324,"seth_2504,abel_13,cain_533",,,,,Adam
aeneas_106,publish,106,Aeneas,,aeneas_106,Aeneas,,checked,Male,,,,,,,,Peter heals Aeneas and Dorcas,Peter and Cornelius,2,"Acts.9.33,Acts.9.34",,,,,,,,
agabus_107,publish,107,Agabus,,agabus_107,Agabus,,checked,Male,,,,,,https://www.biblestudytools.com/dictionaries/eastons-bible-dictionary/agabus.html," a ""prophet,"" probably one of the seventy disciples of Christ. He prophesied at Antioch of an approaching famine (  Acts 11:27   Acts 11:28  ). Many years afterwards he met Paul at Caesarea, and warned him of the bonds and affliction that awaited him at Jerusalem should he persist in going thither (  Acts 21:10-12  ).","Disciples first called Christians,Voyage from Miletus to Jerusalem","Church founded at Antioch, Third Missionary Journey",2,"Acts.11.28,Acts.21.10",,,,,,,,Agabus
